BuildingType,Electricity(kBtu),GHGEmissionsIntensity,LargestPropertyUseType,Latitude,ListOfAllPropertyUseTypes,Longitude,NaturalGas(kBtu),Neighborhood,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),TotalGHGEmissions,NumberofBuildings,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),buildingAge
NonResidential,3946027.0,2.83,Hotel,47.6122,Hotel,-122.33799,1276453.0,DOWNTOWN,12.0,1.0,Hotel,88434.0,0.0,88434.0,182.5,189.0,2003882.0,249.98,1.0,88434.0,60.0,81.69999695,84.30000305,7226362.5,7456910.0,89.0
NonResidential,3242851.0,2.86,Hotel,47.61317,"Hotel, Parking, Restaurant",-122.33393,5145082.0,DOWNTOWN,11.0,2.0,Hotel,88502.0,15064.0,103566.0,176.1000061,179.3999939,0.0,295.86,1.0,83880.0,61.0,94.80000305,97.90000153,8387933.0,8664479.0,20.0
NonResidential,49526664.0,2.19,Hotel,47.61393,Hotel,-122.3381,1493800.0,DOWNTOWN,41.0,3.0,Hotel,759392.0,196718.0,956110.0,241.8999939,244.1000061,21566554.0,2089.28,1.0,756493.0,43.0,96.0,97.69999695,72587024.0,73937112.0,47.0
NonResidential,2768924.0,4.67,Hotel,47.61412,Hotel,-122.33664,1811213.0,DOWNTOWN,10.0,5.0,Hotel,61320.0,0.0,61320.0,216.1999969,224.0,2214446.25,286.43,1.0,61320.0,56.0,110.8000031,113.3000031,6794584.0,6946800.5,90.0
NonResidential,5368607.0,2.88,Hotel,47.61375,"Hotel, Parking, Swimming Pool",-122.34047,8803998.0,DOWNTOWN,18.0,8.0,Hotel,113580.0,62000.0,175580.0,211.3999939,215.6000061,0.0,505.01,1.0,123445.0,75.0,114.8000031,118.6999969,14172606.0,14656503.0,36.0
NonResidential,7371434.0,3.1,Police Station,47.61623,Police Station,-122.33657,4715182.0,DOWNTOWN,2.0,9.0,Other,60090.0,37198.0,97288.0,316.2999878,320.5,0.0,301.81,1.0,88830.0,24.666666666666668,136.1000061,141.6000061,12086616.0,12581712.0,17.0
NonResidential,2811215.0,2.12,Hotel,47.6139,Hotel,-122.33283,2947580.0,DOWNTOWN,11.0,10.0,Hotel,83008.0,0.0,83008.0,146.6000061,154.6999969,0.0,176.14,1.0,81352.0,27.0,70.80000305,74.5,5758795.0,6062767.5,90.0
NonResidential,3636655.0,2.16,Other - Entertainment/Public Assembly,47.61327,Other - Entertainment/Public Assembly,-122.33136,385189.0,DOWNTOWN,8.0,11.0,Other,102761.0,0.0,102761.0,141.6999969,152.3000031,2276286.5,221.51,1.0,102761.0,88.33333333333333,61.29999924,68.80000305,6298131.5,7067881.5,90.0
NonResidential,7297919.0,2.39,Hotel,47.60294,Hotel,-122.33263,6425900.0,DOWNTOWN,15.0,12.0,Hotel,163984.0,0.0,163984.0,180.8999939,187.1999969,0.0,392.16,1.0,163984.0,43.0,83.69999695,86.59999847,13723820.0,14194054.0,112.0
NonResidential,6187627.0,4.51,Hotel,47.60695,Hotel,-122.33414,4591850.0,DOWNTOWN,11.0,15.0,Hotel,133884.0,19279.0,153163.0,228.1999969,233.0,5237165.5,691.26,1.0,133884.0,30.0,119.5999985,124.3000031,16016644.0,16646930.0,47.0
NonResidential,18083049.0,2.22,Hotel,47.60713,Hotel,-122.33323,2858700.0,DOWNTOWN,25.0,16.0,Hotel,272015.0,61161.0,333176.0,199.0,199.3999939,5999360.5,740.97,1.0,336640.0,36.0,80.0,80.40000153,26941110.0,27070114.0,18.0
NonResidential,1343000.0,5.05,Hotel,47.60699,Hotel,-122.33346,3596705.0,DOWNTOWN,9.0,17.0,Hotel,65009.0,0.0,65009.0,153.6000061,149.8000031,1656352.5,328.23,1.0,65009.0,48.0,101.5,97.80000305,6596057.5,6358719.5,88.0
NonResidential,13904183.0,2.05,Hotel,47.60809,"Hotel, Parking",-122.33212,4083440.0,DOWNTOWN,33.0,18.0,Hotel,258352.0,57600.0,315952.0,179.8999939,180.6999969,4337738.5,648.62,1.0,295511.0,58.0,75.5,76.19999695,22325364.0,22524948.0,36.0
NonResidential,3832369.0,5.55,Hotel,47.60755,"Hotel, Parking",-122.33244,2046793.0,DOWNTOWN,11.0,19.0,Hotel,66990.0,25200.0,92190.0,297.3999939,303.8999939,4870847.5,511.39,1.0,67390.0,35.0,159.5,165.8999939,10750010.0,11179203.0,94.0
NonResidential,17851297.0,0.44,Library,47.60649,"Data Center, Library, Parking",-122.33297,0.0,DOWNTOWN,11.0,21.0,Other,355000.0,57000.0,412000.0,155.6000061,156.0,737559.5,181.38,1.0,364913.0,74.33333333333333,50.79999924,51.09999847,18588860.0,18706912.0,12.0
